Time,Headlines,Ticker
16/12/2022,The sea of burgundy at Westminster Abbey was a not-so-subtle rebuke to Meghan,Netflix
15/12/2022,"If Harry and Meghan were hoping to change the royal family, they’ll be disappointed",Netflix
15/12/2022,"Stress of legal action against Mail on Sunday caused Meghan’s miscarriage, Harry claims",Netflix
15/12/2022,The Guardian view on King Charles: still on probation,Netflix
15/12/2022,Best films of 2022 in the UK: No 7 – RRR : Best films 2022,Netflix
15/12/2022,Harry and Meghan – do we really need more of them? Pop Culture with Chanté Joseph : Pop Culture with Chanté Joseph,Netflix
14/12/2022,Royal households accused of ‘war against Meghan’ to protect palace,Netflix
14/12/2022,How Netflix’s Wednesday became a pop culture phenomenon,Netflix
14/12/2022,"Funding cuts mean BBC can’t compete with Netflix, says watchdog",Netflix
14/12/2022,Harry & Meghan becomes Netflix’s biggest documentary debut yet,Netflix
13/12/2022,Why does the Harry and Meghan psychodrama continue? Because no one really wants it to end,Netflix
13/12/2022,Harry and Meghan are right about racist Britain in their Netflix series,Netflix
12/12/2022,"‘They were happy to lie to protect my brother,’ says Prince Harry",Netflix
10/12/2022,Meghan and Harry’s documentary has hit the raw nerve of tabloid prejudice,Netflix
10/12/2022,It’s Meghan and Harry’s story but the real drama is about the royals’ future,Netflix
09/12/2022,"A white lens sees Harry and Meghan as villains – through a Black one, they’ve done Britain a favour",Netflix
09/12/2022,Harry and Meghan hit back at criticism over sharing of personal clips in Netflix show,Netflix
09/12/2022,‘Assault on the Queen’s legacy’: what the UK papers say about Harry and Meghan’s Netflix documentary : What the papers say,Netflix
08/12/2022,The Guardian view on Harry and Meghan: the ring of truth,Netflix
08/12/2022,Media outlets outraged over Meghan and Harry series run wall-to-wall coverage,Netflix
08/12/2022,"Harry & Meghan: Sussexes discuss press intrusion, racism and how they met in Netflix documentary – as it happened",Netflix
08/12/2022,How Harry met Meghan – and four more themes from the documentary so far,Netflix
08/12/2022,Ben Jennings on the Meghan and Harry documentary – cartoon : Guardian Opinion cartoon,Netflix
08/12/2022,"Watch the Harry and Meghan show, and then tell me they weren’t victims of press bigotry",Netflix
07/12/2022,Prince Harry asked ‘Are you harming your family?’ on eve of Netflix series,Netflix
05/12/2022,"Knits, tinsel and A Christmas Karen: the best and worst new festive films",Netflix
04/12/2022,Irreverent review – a Chicago criminal goes undercover down under : Australian TV review,Netflix
04/12/2022,Her dark materials: Tim Burton’s Wednesday sparks a gothic fashion revival,Netflix
03/12/2022,"As ITVX banks on World Cup gold, is channel too late to streaming party?",Netflix
02/12/2022,"Glass Onion, Pinocchio and the new Bump: what’s new to streaming in Australia this December : Stream lover",Netflix
02/12/2022,From crocs to court: how Outback Wrangler star Matt Wright came to face charges relating to fatal helicopter crash,Netflix
02/12/2022,Harry & Meghan film is high stakes for former royals – and for Netflix,Netflix
01/12/2022,Netflix releases Harry & Meghan documentary trailer amid royal race row,Netflix
01/12/2022,Israel condemns Netflix film showing murder of Palestinian family in 1948 war,Netflix
01/12/2022,What’s on Netflix and Amazon this month – December : The best shows to stream this month,Netflix
28/11/2022,Scrooge: A Christmas Carol review – Netflix’s junky musical is a lump of coal,Netflix
27/11/2022,Lost city of Atlantis rises again to fuel a dangerous myth,Netflix
26/11/2022,"Weekend podcast: Marina Hyde on England’s armband U-turn, the house-sitters defying the cost of living crisis, Heartstopper creator Alice Oseman, and the rise and fall of the cryptocurrency exchange, FTX : Weekend",Netflix
23/11/2022,"Blood, Sex & Royalty review – a terrific peek at Henry VIII and Anne Boleyn’s sexiest bits : TV review",Netflix
23/11/2022,Ancient Apocalypse is the most dangerous show on Netflix,Netflix
21/11/2022,‘Dolly Parton loved it’: Gracie Otto on her film Seriously Red and the success of Heartbreak High,Netflix
21/11/2022,"‘Bridgerton effect’ hides reality of black lives in British history, says Sara Collins",Netflix
19/11/2022,"Heartstopper author Alice Oseman: ‘If you don’t have sex and romance, you feel like you haven’t achieved’",Netflix
19/11/2022,"Weekend podcast: Marina Hyde on Jeff Bezos, plus Letitia Wright, and the student who sued Pepsi for a fighter jet : Weekend",Netflix
18/11/2022,"Pepsi, Where’s My Jet? review – the oddly dull tale of a man who sued a soft drink for a weaponised plane : TV review",Netflix
17/11/2022,Christmas With You review – Freddie Prinze Jr leads more cosy Netflix fare,Netflix
17/11/2022,What drove 200 women to stab a gangster to death? Netflix series revisits crime that shocked India,Netflix
16/11/2022,‘Pepsi weren’t counting on a dreamer like me’: the student who sued a soft drink giant for a $23m fighter jet,Netflix
13/11/2022,‘It has added political resonance this year’: why Charles Dickens’s A Christmas Carol still strikes a chord,Netflix
11/11/2022,Beware The Crown’s blurring of fact and fiction in this age of dangerous untruths,Netflix
10/11/2022,Falling for Christmas review – Lindsay Lohan falls into the Netflix algorithm,Netflix
09/11/2022,I can forgive The Crown for jazzing up the facts – but not for being so horribly clunky,Netflix
09/11/2022,Australian Monarchist League calls for boycott of The Crown and Netflix,Netflix
07/11/2022,Princess Anne actor says disclaimers on The Crown would ‘patronise’ viewers,Netflix
06/11/2022,I never dreamed Netflix could leave me wincing in sympathy for the royal family,Netflix
04/11/2022,Netflix with ads draws some big brands – but others are unimpressed,Netflix
03/11/2022,‘Did I notice a dark side?’: the true story behind serial killer drama The Good Nurse,Netflix
03/11/2022,"Whether it’s Kit Connor or Harry Styles, forcing a celebrity to come out is not progress",Netflix
02/11/2022,‘This is still happening today’: the story of an abused wife accused of murder,Netflix
02/11/2022,"Poker Face, Folau and The Wonder: what’s new to streaming in Australia this November : Stream lover",Netflix
01/11/2022,"‘Tampongate’ was just ‘two middle-aged lovers being sweet’, says The Crown star",Netflix
31/10/2022,What’s on Netflix and Amazon this month – November : The best shows to stream this month,Netflix
29/10/2022,Is That Black Enough For You?!?: inside the Black cinema revolution of the 70s,Netflix
29/10/2022,Dahmer series creator says relatives of victims did not reply to contact efforts,Netflix
28/10/2022,Enola Holmes 2 review – Netflix’s spirited mystery sequel for teens,Netflix
28/10/2022,Drink Masters: the Netflix show that’s like a boozy Bake Off – for dreadful people,Netflix
28/10/2022,The Bastard Son & The Devil Himself review – gory deaths have rarely looked so beautiful : TV review,Netflix
24/10/2022,28 Days Haunted review – the ghost-hunting show that will make you roll your eyes like never before : TV review,Netflix
20/10/2022,"I quit Netflix, bought an aerial and went back to free TV. Was it worth the savings?",Netflix
19/10/2022,The Crown creator rejects criticism show is ‘unkind’ to King Charles amid row over facts,Netflix
19/10/2022,Heartbreak High: Australian hit renewed for a second season on Netflix,Netflix
19/10/2022,The School for Good and Evil review – Netflix’s Harry Potter rip-off is a disaster,Netflix
19/10/2022,Descendant: the untold story of an illegal slave ship and the legacy it left behind,Netflix
18/10/2022,Netflix reverses subscriber decline with help from Stranger Things and Dahmer,Netflix
17/10/2022,Will the economic slowdown take the wind out of the US tech industry’s sails?,Netflix
17/10/2022,UK homes cancel streaming services to reduce spending,Netflix
16/10/2022,"‘Next, I’m playing a human being’: Justin H Min on ghosts, androids and the power of silence",Netflix
16/10/2022,John Major dismisses The Crown as a ‘barrel-load of nonsense’,Netflix
15/10/2022,"Jeffrey Dahmer’s victims don’t belong to the killer, to Netflix, or to true crime fans",Netflix
14/10/2022,The Watcher review – Ryan Murphy serves up a seven-hour whodunnit about a typewriter : TV review,Netflix
14/10/2022,Netflix is introducing a new subscription with ads. Here’s what you need to know,Netflix
13/10/2022,Netflix launches £4.99 package with adverts to lure cost-conscious streamers,Netflix
13/10/2022,The Playlist review – stick with it for the brain-breakingly weird ending : TV review,Netflix
13/10/2022,Sue Perkins: Perfectly Legal review – already disturbing … then she meets the men who have sex with donkeys : TV review,Netflix
12/10/2022,Netflix to reveal for first time how many people watch its shows in the UK,Netflix
10/10/2022,Mother of Dahmer victim condemns Netflix series: ‘I don’t see how they can do that’,Netflix
10/10/2022,Netflix reports £1.4bn revenue last year from UK subscribers,Netflix
07/10/2022,Luckiest Girl Alive review – Mila Kunis runs out of luck in flat Netflix drama,Netflix
05/10/2022,Mr Harrigan’s Phone review – minor Stephen King gets minor Netflix treatment,Netflix
05/10/2022,Heartbreak High reboot becomes a huge hit for Netflix and on TikTok,Netflix
04/10/2022,"Catherine Called Birdy, The Stranger and new White Lotus: what’s new to streaming in Australia this October : Stream lover",Netflix
04/10/2022,Hasan Minhaj: The King’s Jester review – slick comedy boastfully told,Netflix
02/10/2022,"If Blonde is a feminist film, why is Marilyn Monroe still being exploited?",Netflix
30/09/2022,Matilda the Musical kicks off the London film festival as Netflix banks on Roald Dahl,Netflix
30/09/2022,What’s on Netflix and Amazon this month – October : The best shows to stream this month,Netflix
28/09/2022,Some like it overheated: how Marilyn Monroe is betrayed by Blonde,Netflix
27/09/2022,Sky signals end of satellite dishes on homes amid move to streaming,Netflix
26/09/2022,European telecoms chiefs call on tech firms to share internet network costs,Netflix
25/09/2022,Blonde review – a hellish vision of Marilyn and her monsters : Mark Kermode's film of the week,Netflix
24/09/2022,"The Crown series five to launch in November, Netflix confirms",Netflix
23/09/2022,A Jazzman’s Blues review – soulful Netflix drama is Tyler Perry’s magnum opus,Netflix
23/09/2022,Lou review – Allison Janney gets her Taken but leaves us wanting,Netflix
23/09/2022,"I died in the original Heartbreak High. Now with the Netflix reboot, people are asking for my autograph in barber shops",Netflix
23/09/2022,Is Ryan Murphy’s Jeffrey Dahmer show the most exploitative TV of 2022?,Netflix
22/09/2022,Thai Cave Rescue review – Netflix drama series shines a light on the real story : TV review,Netflix
21/09/2022,"The young Australian who changed trans rights for children: ‘Everything I do, I do for the kids’",Netflix
16/09/2022,Do Revenge review – biting Netflix comedy updates Strangers on a Train,Netflix
16/09/2022,Heartbreak High’s reboot is here. How does it compare to the original?,Netflix
13/09/2022,Gilmore Girls was great – let’s pretend the nightmarish sequel never happened : Stream team,Netflix
13/09/2022,Emmys 2022 key moments: from Lizzo's inspiring speech to Jennifer Coolidge's awkward dance – video,Netflix
13/09/2022,The Crown sees surge in viewers after death of Queen Elizabeth II,Netflix
12/09/2022,The Anthrax Attacks: In the Shadow of 9/11 review – the lethal letters that brought America to its knees : TV review,Netflix
12/09/2022,The Good Nurse review – Jessica Chastain and Eddie Redmayne impress in killer thriller : First look review,Netflix
09/09/2022,The Swimmers review – inspiring Olympian refugee story told in broad strokes,Netflix
09/09/2022,Heartbreak High gets a Gen-Z makeover: ‘We’re giving this generation their own show’,Netflix
09/09/2022,End of the Road review – Queen Latifah finds a dead end in clumsy Netflix thriller,Netflix
08/09/2022,"Blonde review – Some like it rotten: Monroe biopic is moving, explicit and intensely irritating : First look review",Netflix
08/09/2022,‘I truly believe she was close’: star of new biopic sensed Marilyn Monroe on set,Netflix
07/09/2022,Six Gulf states warn Netflix over content violating ‘Islamic values’,Netflix
07/09/2022,‘Eh-oh!’: Teletubbies to return on Netflix as series reboots for streaming,Netflix
05/09/2022,Netflix to launch cheaper ad-supported subscription tier in November,Netflix
04/09/2022,K-everything: the rise and rise of Korean culture,Netflix
04/09/2022,"‘True, apart from the made-up bits’: why people are lining up to sue over Netflix portrayals",Netflix
04/09/2022,"Heartbreak High, Rings of Power, Blonde: what’s new to streaming in Australia this September : Stream lover",Netflix
01/09/2022,Love in the Villa review – immediately forgettable Netflix romcom,Netflix
31/08/2022,What’s on Netflix and Amazon this month – September : The best shows to stream this month,Netflix
26/08/2022,Me Time review – Kevin Hart and Mark Wahlberg’s confused Netflix comedy,Netflix
21/08/2022,Australian-made children’s TV all but gone from commercial free-to-air networks,Netflix
19/08/2022,I Came By review – Hugh Bonneville gets nasty in silly Netflix thriller,Netflix
19/08/2022,Kleo review – this cinematic assassin thriller is like a German Killing Eve : TV review,Netflix
19/08/2022,"No, your TV series isn’t an eight-hour movie, it’s a TV series",Netflix
18/08/2022,'This is sex jail!' Heartbreak High full trailer: Netflix releases preview of series reboot – video,Netflix
18/08/2022,Echoes review – devious identical twins lead Netflix’s dull thriller series : TV review,Netflix
17/08/2022,Look Both Ways review – Lili Reinhart shines in Netflix’s Sliding Doors homage,Netflix
17/08/2022,High Heat review – here for gratuitously naked firefighters? You’ll enjoy this soapy drama : TV review,Netflix
17/08/2022,Younger viewers shun traditional TV channels as 90% opt for streaming services,Netflix
16/08/2022,Bring that beat back: why are people in their 30s giving up on music?,Netflix
15/08/2022,The Girlfriend Who Didn’t Exist: the Manti Te’o hoax revisited with sympathy,Netflix
12/08/2022,Day Shift review – Jamie Foxx staggers through fangs-for-nothing vampire flick,Netflix
11/08/2022,TV that treats women as baby factories: how Indian Matchmaking glorifies toxic stereotypes,Netflix
11/08/2022,Disney edges past Netflix in streaming subscribers as it raises ad-free prices,Netflix
11/08/2022,‘Stealth mode’: how Disney overtook Netflix in streaming wars,Netflix
09/08/2022,I Just Killed My Dad review – this true-crime story will sweep away your faith in humanity : TV review,Netflix
06/08/2022,The Sandman: ingenious TV that will inspire an entire generation of goths : The watcher,Netflix
05/08/2022,A League of Their Own to Cosmic Love: the seven best shows to stream this week : The seven best shows to stream this week,Netflix
05/08/2022,The Stranger review – Joel Edgerton is at his brooding best in this sophisticated crime drama,Netflix
04/08/2022,Thousands cancel Netflix or Prime Video as UK cost of living soars,Netflix
03/08/2022,I thought needing subtitles on TV just meant I was getting old. Turns out it is all the rage among the kids,Netflix
03/08/2022,Wedding Season review – pleasant if cliched Netflix romcom,Netflix
02/08/2022,Australian streaming apps from TV brands chip away at Netflix dominance,Netflix
02/08/2022,"Better Call Saul recap: season six, episode 11 – it’s the episode we’ve all been waiting for! : Better Call Saul: episode by episode",Netflix
01/08/2022,What’s on Netflix and Amazon this month – August : The best shows to stream this month,Netflix
31/07/2022,"A League of Their Own, The Bear and Game Night: what’s new to streaming in Australia this August : Stream lover",Netflix
30/07/2022,Streaming: the pick of the best children’s films for the summer holidays : Guy Lodge's streaming and DVDs,Netflix
29/07/2022,‘Ice-cream’s a disaster!’: behind-the-scenes secrets of Australia’s reality cooking shows,Netflix
23/07/2022,‘I can’t afford what I used to’: how the cost of living has changed viewing habits,Netflix
22/07/2022,‘They’re just better at it’: the rise of the rock star home organiser,Netflix
22/07/2022,How I stopped trying to keep up with pop culture - and found the art I really loved : Why I quit,Netflix
19/07/2022,Midnight Mass: a truly great show I never want to watch again : Stream team,Netflix
19/07/2022,Netflix’s slump continues as company loses 1 million users in second quarter,Netflix
19/07/2022,"Australian households spend $4,500 a year on entertainment, with streaming and gaming taking biggest slice, report says",Netflix
17/07/2022,Tech company earnings reports expected to bring a flush of bad news,Netflix
16/07/2022,The Gray Man review – fun but frenetic secret agent caper from the Russo brothers,Netflix
15/07/2022,Turning Persuasion into Jane Austen’s Fleabag was a truly terrible idea,Netflix
15/07/2022,Country Queen: first Netflix series to be produced in Kenya hits the screen,Netflix
14/07/2022,Netflix teams up with Microsoft on cheaper streaming with adverts,Netflix
13/07/2022,"Planes, parachutes and armed robbery: Netflix take on the master criminal who became a folk hero",Netflix
12/07/2022,How to Change Your Mind: the documentary that wants you to think again about LSD,Netflix
12/07/2022,That syncing feeling: how Stranger Things supercharged the music industry,Netflix
11/07/2022,The Invisible Pilot review – true-crime documentary leaves a thousand questions unanswered : TV review,Netflix
08/07/2022,How to Build a Sex Room review – Changing Rooms for kinky people : TV review,Netflix
08/07/2022,"Boo, Bitch review – supernatural Netflix teen sitcom goes off the rails : TV review",Netflix
07/07/2022,Ex-Cheer star Jerry Harris sentenced to 12 years in prison for child sexual abuse images charges,Netflix
06/07/2022,Girl in the Picture review – the scale of the true-crime monstrosity will leave you reeling : TV review,Netflix
05/07/2022,"Hello, Goodbye and Everything in Between review – charming Netflix romance",Netflix
05/07/2022,How Netflix’s The Upshaws shows that the family sitcom is still thriving,Netflix
01/07/2022,What’s on Netflix and Amazon this month – July : The best shows to stream this month,Netflix
01/07/2022,Ofcom may extend TV ad breaks in review of broadcasting rules,Netflix
01/07/2022,Stranger Things season 4 finale review – so perfectly judged it could be the ending for the entire show : TV review,Netflix
